RaceDate,HorseName,RestDays
2022-11-06,A AMERIC TE SPECSO,999.0
2022-11-20,A AMERIC TE SPECSO,14.0
2022-12-21,A AMERIC TE SPECSO,31.0
2023-01-08,A AMERIC TE SPECSO,18.0
2023-01-24,A AMERIC TE SPECSO,16.0
2023-02-15,A AMERIC TE SPECSO,22.0
2023-03-01,A AMERIC TE SPECSO,14.0
2023-03-15,A AMERIC TE SPECSO,14.0
2023-04-12,A AMERIC TE SPECSO,28.0
2023-05-03,A AMERIC TE SPECSO,21.0
2023-05-24,A AMERIC TE SPECSO,21.0
2023-06-14,A AMERIC TE SPECSO,21.0
2023-07-03,A AMERIC TE SPECSO,19.0
2023-09-27,A AMERIC TE SPECSO,86.0
2023-10-18,A AMERIC TE SPECSO,21.0
2023-11-08,A AMERIC TE SPECSO,21.0
2023-11-22,A AMERIC TE SPECSO,14.0
2023-12-13,A AMERIC TE SPECSO,21.0
2023-12-29,A AMERIC TE SPECSO,16.0
2024-01-10,A AMERIC TE SPECSO,12.0
2024-01-31,A AMERIC TE SPECSO,21.0
2024-02-15,A AMERIC TE SPECSO,15.0
2024-02-28,A AMERIC TE SPECSO,13.0
2024-03-20,A AMERIC TE SPECSO,21.0
2024-05-15,A AMERIC TE SPECSO,56.0
2024-06-05,A AMERIC TE SPECSO,21.0
2024-06-26,A AMERIC TE SPECSO,21.0
2024-12-11,A AMERIC TE SPECSO,168.0
2025-01-08,A AMERIC TE SPECSO,28.0
2022-09-25,A PAL,999.0
2022-10-16,A PAL,21.0
2022-11-06,A PAL,21.0
2022-12-04,A PAL,28.0
2023-01-15,A PAL,42.0
2023-06-04,A PAL,140.0
2023-07-12,A PAL,38.0
2022-09-14,ABOVE,999.0
2022-09-28,ABOVE,14.0
2022-10-30,ABOVE,32.0
2022-11-20,ABOVE,21.0
2023-01-21,ABOVE,62.0
2023-02-19,ABOVE,29.0
2023-03-19,ABOVE,28.0
2023-05-07,ABOVE,49.0
2023-05-28,ABOVE,21.0
2023-06-18,ABOVE,21.0
2023-06-28,ABOVE,10.0
2023-07-12,ABOVE,14.0
2022-10-05,ABOVE ALL,999.0
2022-10-19,ABOVE ALL,14.0
2022-11-16,ABOVE ALL,28.0
2022-12-14,ABOVE ALL,28.0
2023-01-04,ABOVE ALL,21.0
2023-02-01,ABOVE ALL,28.0
2023-03-08,ABOVE ALL,35.0
2023-04-12,ABOVE ALL,35.0
2023-04-26,ABOVE ALL,14.0
2023-05-17,ABOVE ALL,21.0
2023-05-31,ABOVE ALL,14.0
2023-07-06,ABOVE ALL,36.0
2023-07-12,ABOVE ALL,6.0
2023-10-22,ABSOLUTE SUNSHINE,999.0
2023-11-11,ABSOLUTE SUNSHINE,20.0
2023-11-26,ABSOLUTE SUNSHINE,15.0
2023-12-10,ABSOLUTE SUNSHINE,14.0
2023-12-23,ABSOLUTE SUNSHINE,13.0
2024-01-04,ABSOLUTE SUNSHINE,12.0
2024-01-24,ABSOLUTE SUNSHINE,20.0
2024-02-07,ABSOLUTE SUNSHINE,14.0
2024-03-06,ABSOLUTE SUNSHINE,28.0
2024-04-07,ABSOLUTE SUNSHINE,32.0
2024-04-20,ABSOLUTE SUNSHINE,13.0
2024-05-01,ABSOLUTE SUNSHINE,11.0
2024-05-26,ABSOLUTE SUNSHINE,25.0
2024-06-05,ABSOLUTE SUNSHINE,10.0
2024-06-26,ABSOLUTE SUNSHINE,21.0
2022-10-12,ACA POWER,999.0
2022-10-26,ACA POWER,14.0
2022-11-27,ACA POWER,32.0
2022-12-21,ACA POWER,24.0
2023-01-15,ACA POWER,25.0
2023-01-21,ACA POWER,6.0
2023-02-12,ACA POWER,22.0
2023-03-08,ACA POWER,24.0
2023-03-29,ACA POWER,21.0
2023-04-19,ACA POWER,21.0
2023-05-10,ACA POWER,21.0
2023-06-18,ACA POWER,39.0
2023-07-03,ACA POWER,15.0
2023-10-25,ACA POWER,114.0
2023-11-15,ACA POWER,21.0
2023-11-26,ACA POWER,11.0
2023-12-17,ACA POWER,21.0
2023-12-26,ACA POWER,9.0
2024-01-13,ACA POWER,18.0
2024-01-24,ACA POWER,11.0
2024-03-16,ACA POWER,52.0
2024-04-03,ACA POWER,18.0
2024-04-14,ACA POWER,11.0
2024-05-11,ACA POWER,27.0
2024-06-15,ACA POWER,35.0
2024-07-06,ACA POWER,21.0
2024-09-28,ACA POWER,84.0
2024-10-23,ACA POWER,25.0
2024-11-09,ACA POWER,17.0
2024-12-01,ACA POWER,22.0
2024-12-18,ACA POWER,17.0
2022-10-23,ACCELERANDO,999.0
2022-11-06,ACCELERANDO,14.0
2022-11-27,ACCELERANDO,21.0
2022-12-18,ACCELERANDO,21.0
2023-10-18,ACCOLADE START,999.0
2023-12-10,ACCOLADE START,53.0
2023-12-26,ACCOLADE START,16.0
2024-01-28,ACCOLADE START,33.0
2024-02-15,ACCOLADE START,18.0
2024-03-10,ACCOLADE START,24.0
2024-04-14,ACCOLADE START,35.0
2024-05-08,ACCOLADE START,24.0
2024-06-23,ACCOLADE START,46.0
2024-10-13,ACCOLADE START,112.0
2025-01-01,ACCOLADE START,80.0
2023-03-26,ACE ONE,999.0
2023-04-19,ACE ONE,24.0
2023-05-17,ACE ONE,28.0
2023-06-04,ACE ONE,18.0
2023-06-18,ACE ONE,14.0
2023-07-09,ACE ONE,21.0
2023-09-10,ACE ONE,63.0
2023-10-15,ACE ONE,35.0
2023-12-03,ACE ONE,49.0
2024-02-07,ACE ONE,66.0
2024-02-28,ACE ONE,21.0
2024-03-10,ACE ONE,11.0
2024-04-14,ACE ONE,35.0
2024-05-08,ACE ONE,24.0
2024-06-02,ACE ONE,25.0
2024-07-14,ACE ONE,42.0
2024-03-06,ACE POWER,999.0
2024-04-07,ACE POWER,32.0
2024-05-08,ACE POWER,31.0
2024-06-05,ACE POWER,28.0
2024-07-01,ACE POWER,26.0
2024-09-11,ACE POWER,72.0
2024-09-28,ACE POWER,17.0
2024-11-13,ACE POWER,46.0
2024-12-01,ACE POWER,18.0
2024-12-18,ACE POWER,17.0
2022-10-30,ACE TALENT,999.0
2022-12-04,ACE TALENT,35.0
2023-01-11,ACE TALENT,38.0
2023-01-29,ACE TALENT,18.0
2023-02-08,ACE TALENT,10.0
2023-03-01,ACE TALENT,21.0
2023-03-22,ACE TALENT,21.0
2023-04-12,ACE TALENT,21.0
2023-04-26,ACE TALENT,14.0
2023-05-31,ACE TALENT,35.0
2023-07-12,ACE TALENT,42.0
2023-09-13,ACE TALENT,63.0
2023-10-11,ACE TALENT,28.0
2023-10-18,ACE TALENT,7.0
2023-11-22,ACE TALENT,35.0
2024-01-04,ACE TALENT,43.0
2024-03-13,ACE TALENT,69.0
2024-10-09,ACE TALENT,210.0
2024-10-30,ACE TALENT,21.0
2024-11-06,ACE TALENT,7.0
2024-11-27,ACE TALENT,21.0
2024-12-29,ACE TALENT,32.0
2023-12-13,ACE VICTORY,999.0
2024-01-01,ACE VICTORY,19.0
2024-01-21,ACE VICTORY,20.0
2024-01-28,ACE VICTORY,7.0
2024-02-25,ACE VICTORY,28.0
2024-03-16,ACE VICTORY,20.0
2024-06-02,ACE VICTORY,78.0
2024-06-08,ACE VICTORY,6.0
2024-06-12,ACE VICTORY,4.0
2024-06-23,ACE VICTORY,11.0
2024-07-01,ACE VICTORY,8.0
2024-07-06,ACE VICTORY,5.0
2024-11-03,ACE WAR,999.0
2024-11-27,ACE WAR,24.0
2024-12-18,ACE WAR,21.0
2025-01-01,ACE WAR,14.0
2024-06-08,ACROSS DA UNIVERSE,999.0
2024-06-15,ACROSS DA UNIVERSE,7.0
2024-10-13,ACROSS DA UNIVERSE,120.0
2022-11-20,ACT OF FAITH,999.0
2022-12-14,ACT OF FAITH,24.0
2023-01-04,ACT OF FAITH,21.0
2023-02-01,ACT OF FAITH,28.0
2023-02-22,ACT OF FAITH,21.0
2023-03-22,ACT OF FAITH,28.0
2023-04-12,ACT OF FAITH,21.0
2023-05-03,ACT OF FAITH,21.0
2023-05-24,ACT OF FAITH,21.0
2023-07-06,ACT OF FAITH,43.0
2023-09-27,ACT OF FAITH,83.0
2023-10-18,ACT OF FAITH,21.0
2023-11-01,ACT OF FAITH,14.0
2023-11-15,ACT OF FAITH,14.0
2023-12-20,ACT OF FAITH,35.0
2024-01-04,ACT OF FAITH,15.0
2024-01-31,ACT OF FAITH,27.0
2024-02-15,ACT OF FAITH,15.0
2024-03-06,ACT OF FAITH,20.0
2024-03-27,ACT OF FAITH,21.0
2024-04-17,ACT OF FAITH,21.0
2024-05-01,ACT OF FAITH,14.0
2024-06-05,ACT OF FAITH,35.0
2022-09-11,ADEFILL,999.0
2022-10-16,ADEFILL,35.0
2022-11-12,ADEFILL,27.0
2022-12-11,ADEFILL,29.0
2023-01-21,ADEFILL,41.0
2023-02-12,ADEFILL,22.0
2023-03-05,ADEFILL,21.0
2023-04-23,ADEFILL,49.0
