期數,日期,中獎號碼 1,2,3,4,5,6,特別號碼,上期出現號碼,小,大,單數,雙數,1-10,11-20,21-30,31-40,41-50,頭獎 中獎注數,頭獎 每注獎金,二獎 中獎注數,二獎 每注獎金,三獎 中獎注數,三獎 每注獎金,四獎 中獎注數,四獎 每注獎金,五獎 中獎注數,五獎 每注獎金,六獎 中獎注數,六獎 每注獎金,七獎 中獎注數,七獎 每注獎金,八獎 中獎注數,八獎 每注獎金
113000073,2024-07-26,6,19,23,35,41,46,8,"6,23,35",3,3,4,2,1,1,1,1,2,1,233725578.00,2,783383.00,23,73360.00,92,11790.00,1434,2000.00,2305,1000.00,23657,400.00,26342,400.00
113000072,2024-07-23,3,6,10,23,33,35,24,33,4,2,4,2,3,0,1,2,0,0,0.00,4,412590.00,58,30643.00,125,9140.00,2407,2000.00,3184,1000.00,30985,400.00,40936,400.00
113000071,2024-07-19,11,13,25,28,33,40,31,,2,4,4,2,0,2,2,2,0,0,0.00,2,903459.00,43,45253.00,83,15071.00,1902,2000.00,2757,1000.00,26723,400.00,34856,400.00
113000070,2024-07-16,4,12,22,29,36,47,15,,3,3,2,4,1,1,2,1,1,0,0.00,2,1802038.00,46,39618.00,109,10748.00,2142,2000.00,2704,1000.00,25877,400.00,35860,400.00
113000069,2024-07-12,2,13,19,33,46,49,23,19,3,3,4,2,1,2,0,1,2,0,0.00,0,0.00,30,68628.00,73,18130.00,1632,2000.00,2158,1000.00,23001,400.00,29122,400.00
113000068,2024-07-09,15,18,19,31,39,40,25,,3,3,4,2,0,3,0,3,0,0,0.00,2,910992.00,32,61316.00,74,17045.00,1535,2000.00,1928,1000.00,20874,400.00,28679,400.00
113000067,2024-07-05,2,11,20,25,37,49,42,,3,3,4,2,1,2,1,1,1,0,0.00,2,1111227.00,57,41989.00,130,11835.00,2361,2000.00,2949,1000.00,28422,400.00,41964,400.00
113000066,2024-07-02,1,33,38,39,41,45,46,41,1,5,5,1,1,0,0,3,2,0,0.00,1,2146481.00,27,85614.00,78,19051.00,1775,2000.00,2321,1000.00,24032,400.00,34128,400.00
113000065,2024-06-28,10,11,25,31,36,41,27,41,2,4,4,2,1,1,1,2,1,0,0.00,3,1983996.00,42,49645.00,92,14569.00,1987,2000.00,2635,1000.00,27734,400.00,35374,400.00
113000064,2024-06-25,6,8,12,29,41,48,14,,3,3,2,4,2,1,1,0,2,0,0.00,0,0.00,32,59628.00,109,11253.00,2171,2000.00,2723,1000.00,27212,400.00,38300,400.00
113000063,2024-06-21,2,17,31,42,44,46,10,"31,42",2,4,2,4,1,1,0,1,3,1,100000000.00,0,0.00,30,80554.00,77,20175.00,1758,2000.00,2506,1000.00,26318,400.00,32258,400.00
113000062,2024-06-18,6,24,31,35,36,42,18,36,2,4,2,4,1,0,1,3,1,0,0.00,1,2110495.00,31,73317.00,129,11326.00,2026,2000.00,3231,1000.00,30045,400.00,37320,400.00
113000061,2024-06-14,1,7,9,18,36,47,32,"7,36",4,2,4,2,3,1,0,1,1,0,0.00,2,1070051.00,54,42680.00,96,15433.00,2478,2000.00,2649,1000.00,27603,400.00,42309,400.00
113000060,2024-06-11,7,10,12,27,36,46,18,36,3,3,2,4,2,1,1,1,1,1,100000000.00,2,1183859.00,61,41800.00,146,11227.00,2750,2000.00,3866,1000.00,37107,400.00,50394,400.00
113000059,2024-06-07,19,24,29,36,37,43,17,,2,4,4,2,0,1,2,2,1,1,100000000.00,2,1246513.00,45,59662.00,147,11741.00,2500,2000.00,3447,1000.00,34534,400.00,42686,400.00
113000058,2024-06-04,7,30,33,34,35,46,49,,1,5,3,3,1,0,1,3,1,0,0.00,1,2405944.00,80,32387.00,90,18507.00,2958,2000.00,2754,1000.00,27629,400.00,44161,400.00
113000057,2024-05-31,8,14,16,19,23,32,49,,5,1,2,4,1,3,1,1,0,0,0.00,1,4320601.00,62,39602.00,121,13044.00,3054,2000.00,3060,1000.00,29813,400.00,49636,400.00
113000056,2024-05-28,12,17,18,21,33,37,9,,4,2,4,2,0,3,1,2,0,1,100000000.00,0,0.00,51,43090.00,168,8409.00,2789,2000.00,4286,1000.00,39496,400.00,46897,400.00
113000055,2024-05-24,4,23,24,28,30,40,41,30,3,3,1,5,1,0,4,1,0,0,0.00,1,2493738.00,33,81380.00,112,15414.00,2373,2000.00,2926,1000.00,31133,400.00,44321,400.00
113000054,2024-05-21,1,30,34,35,38,42,15,34,1,5,2,4,1,0,1,3,1,1,100000000.00,2,1211559.00,38,68671.00,114,14715.00,2054,2000.00,3177,1000.00,31753,400.00,39420,400.00
113000053,2024-05-17,15,33,34,40,41,49,27,,1,5,4,2,0,1,0,3,2,1,197423717.00,4,1490270.00,28,83374.00,80,18759.00,1683,2000.00,2427,1000.00,25805,400.00,31868,400.00
113000052,2024-05-14,6,7,10,25,32,43,33,,3,3,3,3,3,0,1,1,1,0,0.00,0,0.00,28,71825.00,88,14691.00,2030,2000.00,2512,1000.00,25397,400.00,35773,400.00
113000051,2024-05-10,15,19,30,35,38,41,25,"15,30",2,4,4,2,0,2,1,2,1,0,0.00,0,0.00,30,69134.00,92,14492.00,1635,2000.00,2383,1000.00,24296,400.00,31394,400.00
113000050,2024-05-07,7,9,15,28,30,33,26,,3,3,4,2,2,1,2,1,0,0,0.00,1,4668297.00,46,35284.00,133,7845.00,2262,2000.00,2944,1000.00,26715,400.00,37908,400.00
113000049,2024-05-03,6,11,12,22,34,39,42,22,4,2,2,4,1,2,1,2,0,0,0.00,0,0.00,34,49846.00,80,13618.00,2012,2000.00,2472,1000.00,23324,400.00,35609,400.00
113000048,2024-04-30,3,9,13,22,33,43,14,"13,22,33",4,2,5,1,2,1,1,1,1,0,0.00,0,0.00,42,40702.00,82,13402.00,2039,2000.00,2134,1000.00,21660,400.00,31532,400.00
113000047,2024-04-26,13,21,22,26,33,34,35,"13,33",3,3,3,3,0,1,3,2,0,0,0.00,5,1309299.00,26,64492.00,68,15852.00,1478,2000.00,1919,1000.00,19333,400.00,27497,400.00
113000046,2024-04-23,13,14,17,32,33,36,31,,3,3,3,3,0,3,0,3,0,0,0.00,0,0.00,30,63801.00,78,15775.00,1659,2000.00,2192,1000.00,21097,400.00,29116,400.00
113000045,2024-04-19,7,10,16,22,31,46,42,,4,2,2,4,2,1,1,1,1,0,0.00,0,0.00,35,51868.00,83,14060.00,1736,2000.00,1860,1000.00,19454,400.00,30146,400.00
113000044,2024-04-16,5,8,17,33,35,40,10,"5,17",3,3,4,2,2,1,0,3,0,1,100000000.00,0,0.00,26,63225.00,80,13209.00,1750,2000.00,2582,1000.00,25878,400.00,31523,400.00
113000043,2024-04-12,3,5,12,15,17,39,24,"3,17",5,1,5,1,2,3,0,1,0,1,100000000.00,1,1409335.00,43,35296.00,89,10962.00,2037,2000.00,2839,1000.00,26541,400.00,34855,400.00
113000042,2024-04-09,3,16,17,19,22,26,1,,5,1,3,3,1,3,2,0,0,1,183596227.00,1,5701062.00,42,46248.00,139,8983.00,2101,2000.00,3075,1000.00,29840,400.00,37796,400.00
113000041,2024-04-05,4,31,35,38,40,48,18,38,1,5,2,4,1,0,0,4,1,0,0.00,0,0.00,28,75164.00,76,17802.00,1686,2000.00,2210,1000.00,23104,400.00,29399,400.00
113000040,2024-04-02,27,32,38,39,46,49,24,,0,6,3,3,0,0,1,3,2,0,0.00,0,0.00,26,80483.00,77,17470.00,1679,2000.00,2228,1000.00,23397,400.00,31036,400.00
113000039,2024-03-29,2,3,13,15,43,48,1,,4,2,4,2,2,2,0,0,2,0,0.00,2,1713020.00,30,62314.00,93,12922.00,1608,2000.00,2485,1000.00,25372,400.00,31006,400.00
113000038,2024-03-26,6,19,21,29,32,46,11,,3,3,3,3,1,1,2,1,1,0,0.00,0,0.00,27,67412.00,87,13449.00,1758,2000.00,2562,1000.00,26329,400.00,31626,400.00
113000037,2024-03-22,4,16,38,40,41,48,35,,2,4,1,5,1,1,0,2,2,0,0.00,1,3532607.00,32,63327.00,90,14474.00,1537,2000.00,2594,1000.00,24652,400.00,30076,400.00
113000036,2024-03-19,8,14,19,20,21,36,28,8,5,1,2,4,1,3,1,1,0,0,0.00,0,0.00,46,38649.00,111,10296.00,1907,2000.00,2752,1000.00,28506,400.00,35577,400.00
113000035,2024-03-15,8,18,33,37,40,43,31,,2,4,3,3,1,1,0,3,1,0,0.00,1,1893646.00,41,49739.00,100,13109.00,1607,2000.00,2483,1000.00,24869,400.00,31732,400.00
113000034,2024-03-12,3,13,22,27,45,49,17,27,3,3,5,1,1,1,2,0,2,1,307781613.00,1,2725056.00,38,77228.00,100,18865.00,2391,2000.00,3451,1000.00,35140,400.00,45676,400.00
113000033,2024-03-08,7,26,27,29,36,40,32,26,1,5,3,3,1,0,3,2,0,0,0.00,1,8983680.00,28,94881.00,100,17078.00,2237,2000.00,2823,1000.00,30216,400.00,42284,400.00
113000032,2024-03-05,10,15,21,24,26,38,37,,4,2,2,4,1,1,3,1,0,0,0.00,0,0.00,51,47394.00,143,10866.00,2565,2000.00,3711,1000.00,34275,400.00,45814,400.00
113000031,2024-03-01,1,29,30,39,46,47,17,29,1,5,4,2,1,0,2,1,2,0,0.00,0,0.00,43,57939.00,89,17995.00,1873,2000.00,2567,1000.00,27418,400.00,35656,400.00
113000030,2024-02-27,7,15,17,29,41,42,28,15,3,3,5,1,1,2,1,0,2,0,0.00,0,0.00,40,52737.00,107,12674.00,1923,2000.00,3174,1000.00,30853,400.00,36232,400.00
113000029,2024-02-24,8,15,21,27,46,48,31,"8,21",3,3,3,3,1,1,2,0,2,0,0.00,1,2570900.00,43,64387.00,150,11865.00,2466,2000.00,3522,1000.00,33019,400.00,44004,400.00
113000028,2024-02-23,3,8,9,21,34,49,22,9,4,2,4,2,3,0,1,1,1,0,0.00,3,866487.00,62,45151.00,153,11762.00,2878,2000.00,4127,1000.00,40220,400.00,51804,400.00
113000027,2024-02-22,9,11,18,31,39,46,5,31,3,3,4,2,1,2,0,2,1,0,0.00,2,1143330.00,55,44773.00,127,12465.00,2445,2000.00,3870,1000.00,37945,400.00,43992,400.00
113000026,2024-02-21,13,21,25,27,31,43,47,27,2,4,6,0,0,1,3,1,1,0,0.00,2,1300338.00,39,71813.00,119,15129.00,2418,2000.00,2944,1000.00,30089,400.00,44525,400.00
113000025,2024-02-20,6,8,17,27,34,46,25,17,3,3,2,4,2,1,1,1,1,0,0.00,1,5023015.00,60,47220.00,146,12475.00,3003,2000.00,4024,1000.00,39674,400.00,52607,400.00
113000024,2024-02-19,2,10,17,32,38,48,8,32,3,3,1,5,2,1,0,2,1,1,100000000.00,0,0.00,56,46002.00,133,12451.00,2844,2000.00,4159,1000.00,42216,400.00,48582,400.00
113000023,2024-02-18,6,12,24,32,36,44,45,32,3,3,0,6,1,1,1,2,1,2,58522141.00,1,2771016.00,64,46627.00,120,15986.00,2970,2000.00,3326,1000.00,33438,400.00,49211,400.00
113000022,2024-02-17,4,5,20,27,32,40,6,,3,3,2,4,2,1,1,2,0,0,0.00,1,2838969.00,59,51819.00,148,13280.00,2931,2000.00,4136,1000.00,42603,400.00,53977,400.00
113000021,2024-02-16,19,24,33,42,43,45,16,"19,33",2,4,4,2,0,1,1,1,3,0,0.00,1,3667914.00,54,73149.00,151,16816.00,2846,2000.00,4133,1000.00,42732,400.00,55255,400.00
113000020,2024-02-15,4,8,18,19,20,33,3,19,5,1,2,4,2,3,0,1,0,1,100000000.00,2,1547362.00,56,59513.00,187,11457.00,3977,2000.00,5463,1000.00,54054,400.00,69646,400.00
113000019,2024-02-14,7,12,19,26,32,39,44,39,3,3,3,3,1,2,1,2,0,1,164711535.00,2,2403563.00,119,43503.00,233,14283.00,5332,2000.00,6211,1000.00,60587,400.00,93138,400.00
113000018,2024-02-13,2,3,6,39,44,47,34,47,3,3,3,3,3,0,0,1,2,0,0.00,1,3553186.00,64,59789.00,130,18922.00,3120,2000.00,4255,1000.00,43856,400.00,59738,400.00
113000017,2024-02-12,16,22,37,46,47,49,4,,2,4,3,3,0,1,1,1,3,0,0.00,2,2348044.00,63,80275.00,190,17111.00,3965,2000.00,5721,1000.00,59615,400.00,74103,400.00
113000016,2024-02-11,11,13,23,29,44,45,27,"11,13",3,3,5,1,0,2,2,0,2,1,100000000.00,3,1636504.00,95,55654.00,178,19094.00,4520,2000.00,6425,1000.00,66421,400.00,85606,400.00
113000015,2024-02-10,5,6,11,13,28,34,4,,4,2,3,3,2,2,1,1,0,2,178835988.00,9,536713.00,166,31337.00,344,9721.00,6475,2000.00,8634,1000.00,83982,400.00,112261,400.00
113000014,2024-02-09,3,7,16,20,25,30,37,25,4,2,3,3,2,2,2,0,0,0,0.00,4,2004787.00,135,38100.00,271,12201.00,5955,2000.00,7338,1000.00,71279,400.00,101687,400.00
113000013,2024-02-08,5,8,25,31,39,47,22,31,2,4,5,1,2,0,1,2,1,0,0.00,0,0.00,68,51360.00,158,14209.00,3322,2000.00,4319,1000.00,44736,400.00,60240,400.00
113000012,2024-02-07,20,22,31,34,35,37,7,34,2,4,3,3,0,1,1,4,0,0,0.00,4,660708.00,41,69417.00,109,16785.00,2488,2000.00,3661,1000.00,37781,400.00,44932,400.00
113000011,2024-02-06,14,19,23,26,34,40,5,,3,3,2,4,0,2,2,2,0,0,0.00,3,1263024.00,90,45339.00,216,12144.00,3845,2000.00,5387,1000.00,53811,400.00,69377,400.00
113000010,2024-02-02,5,9,25,35,38,39,24,38,2,4,5,1,2,0,1,3,0,0,0.00,1,1717268.00,53,34893.00,81,14677.00,2302,2000.00,2852,1000.00,29195,400.00,38709,400.00
113000009,2024-01-30,7,19,30,38,40,45,27,,2,4,3,3,1,1,1,2,1,0,0.00,1,3921649.00,36,58180.00,78,17262.00,1842,2000.00,2424,1000.00,25706,400.00,33729,400.00
113000008,2024-01-26,2,11,20,34,46,47,40,"2,47",3,3,2,4,1,2,0,1,2,0,0.00,0,0.00,36,59133.00,69,19833.00,1604,2000.00,2307,1000.00,22733,400.00,30837,400.00
113000007,2024-01-23,2,14,17,26,27,47,4,,3,3,3,3,1,2,2,0,1,0,0.00,2,782518.00,23,73279.00,105,10318.00,1712,2000.00,2427,1000.00,24887,400.00,30488,400.00
113000006,2024-01-19,1,3,7,19,31,46,40,"1,3",4,2,5,1,3,1,0,1,1,0,0.00,2,1901369.00,31,64845.00,72,17948.00,2054,2000.00,2163,1000.00,21434,400.00,35165,400.00
113000005,2024-01-16,1,3,20,21,36,40,44,,4,2,3,3,2,1,1,2,0,1,116293465.00,0,0.00,30,69501.00,90,14893.00,1969,2000.00,2233,1000.00,21965,400.00,34563,400.00
113000004,2024-01-12,4,25,29,38,42,46,6,29,1,5,2,4,1,0,2,1,2,0,0.00,1,3805099.00,40,52196.00,91,14749.00,1719,2000.00,2453,1000.00,25936,400.00,31420,400.00
113000003,2024-01-09,12,29,31,37,44,49,3,,1,5,4,2,0,1,1,2,2,0,0.00,0,0.00,26,77305.00,69,18726.00,1759,2000.00,2665,1000.00,27776,400.00,31146,400.00
113000002,2024-01-05,2,20,23,30,35,47,40,,3,3,3,3,1,1,2,1,1,0,0.00,1,3477159.00,34,58240.00,81,15715.00,1686,2000.00,2565,1000.00,23649,400.00,32570,400.00
113000001,2024-01-02,4,14,18,21,36,38,1,,4,2,1,5,1,2,1,2,0,0,0.00,0,0.00,23,76714.00,90,12603.00,1708,2000.00,2291,1000.00,23058,400.00,31474,400.00
112000116,2023-12-29,1,11,23,31,39,46,17,46,3,3,5,1,1,1,1,2,1,2,50000000.00,2,3020716.00,61,48367.00,156,12158.00,2843,2000.00,3870,1000.00,39691,400.00,52006,400.00
112000115,2023-12-26,8,19,28,29,30,46,10,8,2,4,2,4,1,1,3,0,1,0,0.00,0,0.00,36,46696.00,129,8377.00,1782,2000.00,2966,1000.00,28438,400.00,32141,400.00
112000114,2023-12-22,8,9,20,34,35,49,40,20,3,3,3,3,2,1,0,2,1,0,0.00,0,0.00,26,72103.00,61,19756.00,1366,2000.00,1950,1000.00,20872,400.00,29876,400.00
112000113,2023-12-19,14,18,20,26,38,48,2,,3,3,0,6,0,3,1,1,1,0,0.00,2,860135.00,26,71253.00,122,9761.00,1501,2000.00,2540,1000.00,24905,400.00,29757,400.00
112000112,2023-12-15,1,9,22,28,33,39,7,33,3,3,4,2,2,0,2,2,0,1,100000000.00,3,807988.00,57,45796.00,159,10554.00,2760,2000.00,4114,1000.00,41844,400.00,49818,400.00
112000111,2023-12-12,6,20,30,33,38,46,16,,2,4,1,5,1,1,1,2,1,0,0.00,1,2304309.00,36,68932.00,116,13752.00,2193,2000.00,3010,1000.00,29875,400.00,39723,400.00
112000110,2023-12-08,5,8,22,27,28,29,16,,3,3,3,3,2,0,4,0,0,1,100000000.00,3,540921.00,59,29620.00,156,7201.00,3273,2000.00,3861,1000.00,34162,400.00,50136,400.00
112000109,2023-12-05,10,14,30,38,42,48,37,,2,4,0,6,1,1,1,1,2,1,100000000.00,1,2322425.00,51,49040.00,107,15026.00,2137,2000.00,2770,1000.00,28801,400.00,37403,400.00
112000108,2023-12-01,4,15,18,23,40,47,42,"18,23",4,2,3,3,1,2,1,1,1,0,0.00,1,2429861.00,32,81774.00,105,16021.00,1962,2000.00,2758,1000.00,26627,400.00,37075,400.00
112000107,2023-11-28,12,18,23,27,33,44,39,,3,3,3,3,0,2,2,1,1,1,340681764.00,1,2981364.00,56,57333.00,167,12359.00,3200,2000.00,4315,1000.00,43125,400.00,58473,400.00
112000106,2023-11-24,9,16,20,42,43,48,2,16,3,3,2,4,1,2,0,0,3,0,0.00,4,782950.00,45,74949.00,133,16302.00,2622,2000.00,3713,1000.00,39362,400.00,47784,400.00
112000105,2023-11-21,16,21,26,30,37,47,31,30,2,4,3,3,0,1,3,1,1,0,0.00,4,814926.00,43,81638.00,119,18964.00,2883,2000.00,3676,1000.00,38586,400.00,53030,400.00
112000104,2023-11-17,15,30,31,34,40,45,47,"15,30",1,5,3,3,0,1,1,3,1,0,0.00,1,3267800.00,53,66399.00,114,19844.00,2565,2000.00,3236,1000.00,33883,400.00,47409,400.00
112000103,2023-11-14,6,12,15,30,38,43,41,6,3,3,2,4,1,2,1,1,1,0,0.00,1,2745208.00,62,47683.00,144,13198.00,2905,2000.00,3766,1000.00,36539,400.00,53066,400.00
112000102,2023-11-10,2,4,6,8,11,31,26,8,5,1,2,4,4,1,0,1,0,0,0.00,3,1070801.00,56,25234.00,188,4832.00,2875,2000.00,3564,1000.00,31222,400.00,42747,365.00
112000101,2023-11-07,7,8,21,41,44,47,13,8,3,3,4,2,2,0,1,0,3,0,0.00,0,0.00,36,56844.00,69,19065.00,1590,2000.00,2155,1000.00,24191,400.00,30302,400.00
112000100,2023-11-03,8,20,24,28,40,48,3,,3,3,0,6,1,1,2,1,1,0,0.00,1,1552568.00,35,47771.00,95,11314.00,1772,2000.00,2704,1000.00,26791,400.00,30709,400.00
112000099,2023-10-31,2,10,18,36,42,47,24,,3,3,1,5,2,1,0,1,2,0,0.00,2,711588.00,113,13563.00,87,11325.00,2583,2000.00,2344,1000.00,23076,400.00,32681,400.00
112000098,2023-10-27,6,15,22,27,28,31,24,,3,3,3,3,1,1,3,1,0,0,0.00,1,1471598.00,29,54648.00,91,11195.00,1864,2000.00,2446,1000.00,23225,400.00,32223,400.00
