Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
24/053,2024-05-09,5,14,15,18,23,48,13,,5,1,3,3,1,3,1,0,1,0,0.00,2,1038190.00,65,85180.00,209.5,9600.00,3716.9,640.00,6063.1,320.00,71689.9,40.00,45202554
24/052,2024-05-07,8,19,27,30,36,42,2,30,2,4,2,4,1,1,2,1,1,0,0.00,1,1801160.00,47,102190.00,206.5,9600.00,3112.8,640.00,5548.3,320.00,60590.8,40.00,39572261
24/051,2024-05-04,1,3,7,21,28,30,45,21,4,2,4,2,3,0,3,0,0,2.5,15089930.00,3.5,656830.00,290.2,21120.00,309,9600.00,10579.4,640.00,7159.7,320.00,149233.7,40.00,64517585
24/050,2024-05-02,6,18,21,39,42,46,17,39,3,3,2,4,1,1,1,1,2,0,0.00,2,1465300.00,61,128110.00,188.5,9600.00,4417.5,640.00,6228.5,320.00,80803.3,40.00,58021809
24/049,2024-04-30,11,12,28,35,37,39,30,28,2,4,4,2,0,2,1,3,0,0,0.00,1,2681260.00,75,95330.00,196.5,9600.00,4357.7,640.00,6205.9,320.00,84702.5,40.00,54985753
24/048,2024-04-27,9,18,28,40,47,48,23,,2,4,2,4,1,1,1,1,2,0,0.00,1,1997480.00,74,71980.00,163,9600.00,3975.5,640.00,4914.3,320.00,69631,40.00,42778772
24/047,2024-04-25,3,17,25,32,36,38,46,,2,4,3,3,1,1,1,3,0,0,0.00,1,1809070.00,47.5,101560.00,149.5,9600.00,3227.9,640.00,4107.5,320.00,62360.3,40.00,38079881
24/046,2024-04-23,5,6,16,27,37,47,24,27,3,3,4,2,2,1,1,1,1,1.5,5333330.00,0,0.00,71,63240.00,151,9600.00,3370.7,640.00,4359.6,320.00,60293.4,40.00,36573781
24/045,2024-04-21,7,8,10,12,17,27,25,17,5,1,3,3,3,2,1,0,0,3.5,7909880.00,7,194190.00,368.2,19200.00,660.4,9600.00,12485.7,640.00,12446.5,320.00,162835.1,40.00,63629164
24/044,2024-04-18,17,25,26,30,38,48,28,17,1,5,2,4,0,1,3,1,1,0,0.00,1,2561350.00,70.5,96880.00,197,9600.00,3917.7,640.00,6365.3,320.00,71865.1,40.00,51989851
24/043,2024-04-16,12,14,17,18,23,44,27,"12,14,17",5,1,2,4,0,4,1,0,1,0,0.00,1.5,1604220.00,50.5,127060.00,191,9600.00,3968.4,640.00,5593.9,320.00,79441.6,40.00,49944294
24/042,2024-04-13,6,10,12,14,17,41,47,,5,1,2,4,2,3,0,0,1,0.5,3411017.50,0,0.00,79.5,63100.00,195.5,9600.00,4344.2,640.00,5998.5,320.00,80148.1,40.00,43639576
24/041,2024-04-11,2,7,9,13,33,35,49,13,4,2,5,1,3,1,0,2,0,0,0.00,2,807420.00,80.5,53490.00,202.5,9600.00,4753.5,640.00,5051,320.00,83330.2,40.00,40307751
24/040,2024-04-09,13,20,29,30,34,48,3,"30,34",2,4,2,4,0,2,2,1,1,1,8000000.00,0,0.00,46,119890.00,147,9600.00,2953,640.00,4507.2,320.00,58086.2,40.00,41144546
24/039,2024-04-06,15,16,17,30,34,35,25,,3,3,3,3,0,3,1,2,0,1,8000000.00,1,1726050.00,64.5,71360.00,169.5,9600.00,2701.4,640.00,4179.8,320.00,50244.9,40.00,35830560
24/038,2024-04-04,4,8,12,22,24,26,1,,5,1,0,6,2,1,3,0,0,2.5,14659460.00,7,233960.00,393,19200.00,952.5,9600.00,13906,640.00,18875.5,320.00,179980.2,40.00,71716401
24/037,2024-04-02,16,25,31,42,43,44,7,,1,5,3,3,0,1,1,1,3,0,0.00,0.5,800692.50,99,86260.00,235.5,9600.00,4336.5,640.00,7223.4,320.00,82795,40.00,63190696
24/036,2024-03-30,2,6,18,22,36,39,21,"2,39",4,2,1,5,2,1,1,2,0,0.5,10262862.50,1.5,2455870.00,179.2,54810.00,354.5,9600.00,8746.8,640.00,10081.2,320.00,152113.2,40.00,83887661
24/035,2024-03-28,2,9,15,20,39,48,43,,4,2,3,3,2,2,0,1,1,1,22142760.00,1.5,1860740.00,89,83620.00,177.5,9600.00,4641.5,640.00,4883.5,320.00,87264.4,40.00,55880649
24/034,2024-03-26,6,11,12,18,24,42,38,"11,18,24,42",5,1,1,5,1,3,1,0,1,0,0.00,5.5,296140.00,210.5,20630.00,319.5,9600.00,8114.5,640.00,7014.6,320.00,107759.1,40.00,49533360
24/033,2024-03-23,11,18,24,35,42,46,3,42,3,3,2,4,0,2,1,1,2,0,0.00,0.5,441537.50,44,107030.00,176.5,9600.00,3068.7,640.00,4546.3,320.00,55448.9,40.00,37536991
