,Unnamed: 0.1,Unnamed: 0,HorseName,Age,Jockey,ActWeight,Draw
0,869,869,CRAIG'S MASTER,4,M L Yeung,123,9
1,1194,1194,GET THE MONIES,5,L Ferraris,128,1
2,1203,1203,GENERAL ACE,5,L Hewitson,126,11
3,1216,1216,DOUBLE SHOW,5,J McDonald,123,10
4,1220,1220,EASY TWO,5,A Atzeni,121,4
5,1224,1224,VIVA A LA,5,K De Melo,120,8
6,1431,1431,VALHALLA,6,H Bowman,130,2
7,1432,1432,WIND SPEEDER,6,M Chadwick,130,5
8,1435,1435,AUGUST MOON,6,K C Leung,128,6
9,1554,1554,MILLENNIUM FALCON,7,C L Chau,122,12
10,1555,1555,HAPPILY FRIENDS,7,Z Purton,121,7
11,1590,1590,HERCULES,8,A Badel,132,3
