,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime
0,2025/01/01,1,FUN ELITE,中環精英,P N Wong,黃寶妮 (-10),134,1151,5,T P Yung,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
1,2025/01/01,2,RIDING HIGH,同喜,M Chadwick,蔡明紹,131,1091,4,A S Cruz,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
2,2025/01/01,3,LITTLE SQUID,心福,M F Poon,潘明輝,128,1087,8,P F Yiu,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
3,2025/01/01,4,NOBLE GO,魅力心,B Avdulla,艾道拿,128,1155,6,J Size,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
4,2025/01/01,5,SAVVY TWINKLE,亮寶,H Bentley,班德禮,128,1100,9,F C Lor,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
5,2025/01/01,6,SHOTGUN,盛勢威楓,H Bowman,布文,128,1072,1,D J Hall,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
6,2025/01/01,7,HAPPY HOLIDAY,假日福星,K Teetan,田泰安,125,1211,2,K H Ting,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
7,2025/01/01,8,ALWAYS MY FOLKS,喆喆友福,B Thompson,湯普新,124,1087,3,C W Chang,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
8,2025/01/01,9,BROTHER CHENG,鄭大哥,Y L Chung,鍾易禮 (-3),124,1086,11,C H Yip,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
9,2025/01/01,10,SPICY SPANGLE,辣得金,E C W Wong,黃智弘 (-7),124,1067,7,P C Ng,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
10,2025/01/01,11,SPORTIC WARRIOR,威德勇士,M L Yeung,楊明綸,123,1078,12,K L Man,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
11,2025/01/01,12,ALMIGHTY KICK,好瑪威威,C Y Ho,何澤堯,118,1080,10,K W Lui,11,Class 4,1200,Sha Tin:,"TURF - ""C"" Course",Good,12:30
