,HorseName,Jockey,ActWeight,Draw,Total,HorseClass,HorseDistance
0,BEAUTY CRESCENT,Z Purton,135,2,10,BEAUTY CRESCENT Class 3,BEAUTY CRESCENT 1400M
1,FASHION LEGEND,B Avdulla,130,6,10,FASHION LEGEND Class 3,FASHION LEGEND 1400M
2,JOYFUL HUNTER,C Y Ho,129,4,10,JOYFUL HUNTER Class 3,JOYFUL HUNTER 1400M
3,LESLIE,K C Leung,126,7,10,LESLIE Class 3,LESLIE 1400M
4,MASSIVE ACTION,E C W Wong,126,8,10,MASSIVE ACTION Class 3,MASSIVE ACTION 1400M
5,BEAUTY FIT,A Hamelin,124,14,10,BEAUTY FIT Class 3,BEAUTY FIT 1400M
6,JOLLY RULER,L Hewitson,123,10,10,JOLLY RULER Class 3,JOLLY RULER 1400M
7,ORIENTAL SMOKE,K H Chan,123,5,10,ORIENTAL SMOKE Class 3,ORIENTAL SMOKE 1400M
8,JUMBO FORTUNE,K De Melo,121,11,10,JUMBO FORTUNE Class 3,JUMBO FORTUNE 1400M
9,STORM LEGEND,H Bentley,119,3,10,STORM LEGEND Class 3,STORM LEGEND 1400M
10,FLYING MOJITO,M L Yeung,118,9,10,FLYING MOJITO Class 3,FLYING MOJITO 1400M
11,I CAN,A Atzeni,118,12,10,I CAN Class 3,I CAN 1400M
12,SWIFT ASCEND,K Teetan,117,13,10,SWIFT ASCEND Class 3,SWIFT ASCEND 1400M
13,AMAZING DUCK,M F Poon,116,1,10,AMAZING DUCK Class 3,AMAZING DUCK 1400M
