,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore
0,2025/07/01,1,HEROIC MASTER,英雄豪邁,E C W Wong,黃智弘 (-5),135,1063,14,F C Lor,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,6,2,B/TT,
1,2025/07/01,2,MULTIDUTCH,萬事得意,M Chadwick,蔡明紹,134,1048,1,A S Cruz,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,34,2,B/TT,
2,2025/07/01,3,STRAIGHT TO GLORY,團結勇士,J Orman,奧爾民,133,1159,4,T P Yung,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,23,3,TT,
3,2025/07/01,4,EXTREME BOMB,極炸,K De Melo,董明朗,132,1040,10,W Y So,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,999,0,TT1,
4,2025/07/01,5,HAPPY ACTION,喜行,B Thompson,湯普新,132,1092,2,D A Hayes,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,23,1,CP/TT,
5,2025/07/01,6,MING SUPREME,森洺之巔,Y L Chung,鍾易禮 (-2),132,1165,12,C H Yip,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,999,0,B1/TT1,
6,2025/07/01,7,MR DESIRA,飛龍在天,H Bentley,班德禮,132,1145,7,C Fownes,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,999,0,,
7,2025/07/01,8,ROBOT LUCKY STAR,官金騏,Z Purton,潘頓,132,1126,13,K L Man,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,999,0,,
8,2025/07/01,9,SUPERB GUY,巴閉佬,A Atzeni,艾兆禮,132,1208,9,K W Lui,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,999,0,,
9,2025/07/01,10,BEAUTY THUNDER,凝聚美麗,A Badel,巴度,131,1029,8,W K Mo,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,27,2,TT,
10,2025/07/01,11,REWARDING BUDDY,駿馬之寶,K C Leung,梁家俊,130,1076,5,F C Lor,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,34,1,CP,
11,2025/07/01,12,RISING PHOENIX,金滙千帥,B Avdulla,艾道拿,128,1034,6,D J Hall,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,48,1,B,
12,2025/07/01,13,AMAZING GALAXY,銀河勇士,L Ferraris,霍宏聲,124,1077,3,K H Ting,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,9,2,CP,
13,2025/07/01,14,NOBLE DELUXE,魅力星,K Teetan,田泰安,122,1153,11,J Size,10,Class 4,1000,Sha Tin:,"TURF - ""C"" Course",Good,16:30,23,2,B/TT,
