,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays
0,2025/01/15,1,EXCEL WONGCHOY,超旺財,M F Poon,潘明輝,134,1092,6,P C Ng,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,28
1,2025/01/15,2,HAPPY DAILY,天天得樂,Z Purton,潘頓,134,1067,12,C H Yip,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,35
2,2025/01/15,3,BOWSER,酷霸王,M Chadwick,蔡明紹,133,1185,3,P F Yiu,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,28
3,2025/01/15,4,LUCKY TOUCH,勝意,A Badel,巴度,133,1127,8,J Richards,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,20
4,2025/01/15,5,NORTHERN BEAST,北海盜,K Teetan,田泰安,132,1148,9,D J Hall,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,35
5,2025/01/15,6,CORLEONE,相映紅,H Bowman,布文,129,1043,11,C Fownes,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,20
6,2025/01/15,7,GOR MO TUEN,歌舞團,C L Chau,周俊樂 (-2),128,1021,7,D A Hayes,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,28
7,2025/01/15,8,WAH MAY WAI WAI,華美之威,Y L Chung,鍾易禮 (-3),128,1058,2,A S Cruz,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,20
8,2025/01/15,9,SILVER KING,銀皇興標,K C Leung,梁家俊,126,1187,10,F C Lor,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,20
9,2025/01/15,10,PANDA LEGEND,熊噹噹,K De Melo,董明朗,122,1259,4,W Y So,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,24
10,2025/01/15,11,TAKE ACTION,先到先得,B Avdulla,艾道拿,121,1163,1,J Size,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,20
11,2025/01/15,12,BRILLIANT FIRE,天火同德,A Pouchin,貝知仁,120,1161,5,D J Whyte,9,Class 4,1650,Happy Valley:,"TURF - ""B"" Course",Good,19:40,17
