,Racedate,HorseNo,HorseName,Jockey,ActWeight,HorseWeight,Draw,Total,Class,Distance,Venue,Course,Going
0,2024/06/15,1,GLORY ELITE,K C Leung,135,1189,2,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
1,2024/06/15,2,HAPPY TRIO,H Bentley,135,1037,6,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
2,2024/06/15,3,METRO WARRIOR,E C W Wong,134,1193,9,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
3,2024/06/15,4,BRILLIANT EXPRESS,H Bowman,127,1143,7,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
4,2024/06/15,5,CIRCUIT VICTORY,Y L Chung,127,1202,4,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
5,2024/06/15,6,SUPER BEN,K De Melo,127,1169,10,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
6,2024/06/15,7,WISDOM STAR,B Avdulla,127,1094,11,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
7,2024/06/15,8,OMAKASE,K Teetan,125,1031,5,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
8,2024/06/15,9,DRACO,C Y Ho,124,1174,12,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
9,2024/06/15,10,WINNING TURN,C L Chau,124,1047,3,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
10,2024/06/15,11,YODA'S CHOICE,A Atzeni,124,1129,8,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
11,2024/06/15,12,SPICY SO SMART,M F Poon,117,1094,1,11,Class 4,1200,Sha Tin:,"TURF - ""C+3"" Course",Good To Yielding
