,HorseNo,HorseName,Jockey,ActWeight,Draw,Total,HorseClass,HorseDistance
0,1,INVINCIBLE MISSILE,L Hewitson,135,2,8,INVINCIBLE MISSILE Class 4,INVINCIBLE MISSILE 1650M
1,2,DRAGON STAR,K Teetan,131,9,8,DRAGON STAR Class 4,DRAGON STAR 1650M
2,3,GOLDEN LINK,M F Poon,131,12,8,GOLDEN LINK Class 4,GOLDEN LINK 1650M
3,4,SATIRICAL GLORY,Z Purton,130,8,8,SATIRICAL GLORY Class 4,SATIRICAL GLORY 1650M
4,5,STURDY RUBY,M L Yeung,128,4,8,STURDY RUBY Class 4,STURDY RUBY 1650M
5,6,V LOVE YOU,H Bentley,127,7,8,V LOVE YOU Class 4,V LOVE YOU 1650M
6,7,WIN WIN FIGHTER,C Y Ho,127,5,8,WIN WIN FIGHTER Class 4,WIN WIN FIGHTER 1650M
7,8,AROMATICA,K C Leung,126,10,8,AROMATICA Class 4,AROMATICA 1650M
8,9,ATOMIC BEAUTY,K H Chan,124,3,8,ATOMIC BEAUTY Class 4,ATOMIC BEAUTY 1650M
9,10,DRAGON PRIDE,A Hamelin,122,1,8,DRAGON PRIDE Class 4,DRAGON PRIDE 1650M
10,11,RIGHT HONOURABLE,M Chadwick,120,6,8,RIGHT HONOURABLE Class 4,RIGHT HONOURABLE 1650M
11,12,SUPERB MOVE,Y L Chung,119,11,8,SUPERB MOVE Class 4,SUPERB MOVE 1650M
