,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq
0,2025/01/26,1,HAPPY PARK,開心樂園,A Atzeni,艾兆禮,134,1218,11,K W Lui,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,18,3
1,2025/01/26,2,YUEN LONG ELITE,元朗精英,Z Purton,潘頓,134,1140,5,K L Man,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,25,1
2,2025/01/26,3,SOUTH STAR,南區之星,K C Leung,梁家俊,129,1030,12,F C Lor,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,999,0
3,2025/01/26,4,CHILL KAKA,超加加,H Bentley,班德禮,128,1095,8,P F Yiu,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,28,2
4,2025/01/26,5,HAPPY DAY,仁仁之寶,C Y Ho,何澤堯,128,1260,4,J Richards,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,18,3
5,2025/01/26,6,TEAM HAPPY,添喜運,A Hamelin,賀銘年,128,1233,6,P C Ng,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,18,3
6,2025/01/26,7,WIN SPEED,超風速,M Chadwick,蔡明紹,128,1110,3,M Newnham,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,21,2
7,2025/01/26,8,BABY SATELLITE,雄彬飛翔,A Pouchin,貝知仁,127,1099,13,D Eustace,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,21,1
8,2025/01/26,9,THE AUSPICIOUS,豐辰,M L Yeung,楊明綸,125,1091,7,Y S Tsui,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,35,2
9,2025/01/26,10,ALL ARE MINE,開心三多,Y L Chung,鍾易禮 (-3),126,1024,9,A S Cruz,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,25,2
10,2025/01/26,11,MONARCH COUNTY,仁仁有餘,H Bowman,布文,126,1086,2,C Fownes,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,49,1
11,2025/01/26,12,CIRCUIT FIERY,綫路萬里,M F Poon,潘明輝,121,1093,10,W Y So,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,84,0
12,2025/01/26,13,GOLDEN DARCI,金駿星,K Teetan,田泰安,119,1131,14,D J Hall,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,31,3
13,2025/01/26,14,LUCKY MAN,文明福星,L Hewitson,希威森,119,1111,1,D A Hayes,11,Class 4,1400,Sha Tin:,"TURF - ""A+3"" Course",Good,15:05,25,2
