seq,No1,No2,No3,No4,No5,No6
1,1,2,3,4,5,6
2,1,2,3,7,8,9
3,1,2,3,10,11,12
4,1,2,3,13,14,15
5,1,2,5,7,9,15
6,1,3,5,11,13,14
7,1,4,5,7,11,14
8,1,4,5,8,9,13
9,1,4,5,10,12,15
10,1,4,6,10,11,14
11,1,6,7,10,12,13
12,1,6,8,9,11,15
13,1,8,9,10,12,14
14,2,3,4,8,12,13
15,2,3,6,7,9,10
16,2,4,6,7,14,15
17,2,4,6,8,11,12
18,2,4,6,9,10,13
19,2,5,7,11,12,13
20,2,5,8,10,14,15
21,2,9,11,12,14,15
22,3,4,7,8,10,14
23,3,4,9,11,13,15
24,3,5,6,7,8,11
25,3,5,6,9,12,14
26,3,5,6,10,13,15
27,3,7,8,12,13,15
28,4,5,6,8,12,15
29,4,7,9,12,13,14
30,5,7,9,10,11,15
31,6,8,10,11,13,14
32,16,17,18,19,20,21
33,16,17,21,24,25,26
34,16,17,22,28,29,30
35,16,17,23,27,30,31
36,16,18,19,22,23,26
37,16,18,19,24,28,30
38,16,18,19,25,27,29
39,16,18,25,26,30,31
40,16,19,21,25,29,31
41,16,19,22,24,27,31
42,16,20,21,22,25,30
43,16,20,23,24,26,29
44,16,20,26,27,28,31
45,16,21,23,25,27,28
46,17,18,21,23,29,30
47,17,18,22,25,28,31
48,17,18,24,26,27,28
49,17,19,21,22,27,28
50,17,19,23,24,25,30
51,17,19,24,26,29,31
52,17,20,22,23,24,28
53,17,20,23,26,28,30
54,17,20,25,27,29,31
55,17,21,22,23,26,31
56,17,21,24,28,30,31
57,18,19,23,28,29,31
58,18,20,21,25,27,31
59,18,20,21,26,28,29
60,18,20,22,23,27,30
61,18,20,23,24,25,31
62,18,21,22,24,25,29
63,19,20,21,23,24,27
64,19,20,22,24,26,30
65,19,20,22,25,26,28
66,19,20,22,29,30,31
67,19,21,26,27,29,30
68,22,23,25,26,27,29
69,24,25,27,28,29,30
70,32,33,34,35,36,37
71,32,33,38,39,40,41
72,32,33,42,43,44,45
73,32,33,46,47,48,49
74,32,34,38,43,44,46
75,32,34,39,45,47,48
76,32,34,40,41,42,49
77,32,35,38,42,47,48
78,32,35,39,43,44,49
79,32,35,40,41,45,46
80,32,36,37,38,45,49
81,32,36,37,39,42,46
82,32,36,40,43,47,48
83,32,36,41,43,44,47
84,32,37,40,43,44,48
85,32,37,41,44,47,48
86,33,34,35,40,44,47
87,33,34,35,41,43,48
88,33,34,38,42,45,46
89,33,34,39,45,46,49
90,33,35,38,42,46,49
91,33,35,39,42,45,49
92,33,36,38,39,44,48
93,33,36,40,43,46,49
94,33,36,41,42,45,47
95,33,37,38,39,43,47
96,33,37,40,42,45,48
97,33,37,41,44,46,49
98,34,35,38,39,42,45
99,34,35,38,39,46,49
100,34,36,38,41,46,47
101,34,36,39,40,43,45
102,34,36,42,44,48,49
103,34,37,38,40,46,48
104,34,37,39,41,44,45
105,34,37,42,43,47,49
106,35,36,38,40,42,43
107,35,36,39,41,47,49
108,35,36,44,45,46,48
109,35,37,38,41,42,44
110,35,37,39,40,48,49
111,35,37,43,45,46,47
112,36,37,40,41,43,44
113,36,37,40,41,47,48
114,38,40,44,45,47,49
115,38,41,43,45,48,49
116,39,40,42,44,46,47
117,39,41,42,43,46,48
