,race_date,race_no,horse_no,horse_name,rtg,jockey,horse_wt,rider_wt,act_wt,trainer,bar,finish,finish_time
0,20240324,1,7,GENERATION M,27,S ZULFIKRI c2,505,55.0,55.4,R LINES,4,1,1:10.20
1,20240324,1,10,RAINBOW FISH,20,PH SEOW* c2,468,52.0,51.1,EP TAN,2,2,1:10.40
2,20240324,1,3,LUKE MAN,32,H HAIKAL* c3,522,57.5,54.5,S HAMILTON,1,3,1:10.50
3,20240324,1,6,QIJI STAR,30,J DANIEL c1,451,56.5,55.8,S DUNDERDALE,5,4,1:10.60
4,20240324,1,2,HAZARD,35,S HAFIS c1,451,59.0,58.2,WC LIM,10,5,1:10.80
5,20240324,1,8,KUBERA'S CHIEF,21,SU LIM,458,52.0,53.9,SY LIM,8,6,1:10.90
6,20240324,1,4,MADE IN CHINA,30,F YUSOFF c2,505,56.5,54.7,S SIVA,6,7,1:11.00
7,20240324,1,1,CHINO DINERO,35,M LUKMAN* c3,523,59.0,56,WC LIM,7,8,1:11.20
8,20240324,1,9,ZAZU,21,L DE SOUZA,423,52.0,53.2,L MOY,3,9,1:11.30
9,20240324,1,5,MATILDA,30,S RUZAINI,482,56.5,56.5,K ANANTHEN,11,10,1:11.40
10,20240324,2,10,ROYALTY'S WISH,37,SU LIM,504,56.0,56,C LECK,4,1,1:10.20
11,20240324,2,3,YOU THINK SO,43,F YUSOFF c2,503,59.0,57.2,V SIVAN,3,2,1:10.20
12,20240324,2,1,FLYING BABY,43,H HAIKAL* c3,496,59.0,56,CC OOI,8,3,1:10.60
13,20240324,2,2,HOWL,43,S HAFIS c1,464,59.0,58.2,SY LIM,9,4,1:10.90
14,20240324,2,8,ROYAL FLUSH,39,R SHAFIQ,471,57.0,57.1,HY CHENG,6,5,1:11.00
15,20240324,2,4,THUNDERGOD,42,S ZULFIKRI c2,459,58.5,56.8,S HAMILTON,10,6,1:11.00
16,20240324,2,6,THE SAINT,38,I FIKRI* c2,465,58.0,56,AB ABDULLAH,7,7,1:11.00
17,20240324,2,9,PACIFIC PRIME,37,KC THAM c1,447,56.0,55,KC TIANG,1,8,1:11.50
18,20240324,2,5,REMO MAMA,41,M LUKMAN* c3,491,58.0,55.2,WC LIM,2,9,1:11.50
19,20240324,2,7,KIWI KID,40,L DE SOUZA,484,57.5,57.6,WC LIM,5,10,1:11.60
20,20240324,3,2,STARLIGHT GLIMMER,53,S ZULFIKRI c2,426,58.0,57.6,S SIVA,2,1,1:09.30
21,20240324,3,5,OUR FINAL OFFER,52,S RUZAINI,482,57.5,55.6,S HAMILTON,7,2,1:09.40
22,20240324,3,7,PACIFIC WINDSOR,47,KC THAM c1,467,55.0,54.8,KC TIANG,1,3,1:09.60
23,20240324,3,1,CLERGYMAN,55,SU LIM,471,59.0,57.3,F MAYNARD,4,4,1:10.20
24,20240324,3,3,WISEMAN,53,F YUSOFF c2,485,58.0,55.3,R LINES,8,5,1:10.30
25,20240324,3,9,CAPONE,44,S HAFIS c1,518,53.5,55.8,HY CHENG,6,6,1:10.30
26,20240324,3,10,ICHIKA BACHIKA,44,J DANIEL c1,490,53.5,51.2,S DUNDERDALE,3,6,1:10.30
27,20240324,3,8,ELITE QUARTETO,83,SN SHIVA* c3,470,54.0,53.9,SY LIM,9,8,1:11.00
28,20240324,3,4,NAUGHTY KID,52,CLYDE LECK* c1,469,57.5,55.5,C LECK,5,9,1:11.00
29,20240324,4,2,MAJESTIC WAY,58,R SHAFIQ,521,57.5,57.6,HY CHENG,4,1,1:09.00
30,20240324,4,5,FROM THE NAVY,56,CLYDE LECK* c1,566,56.5,55.6,C LECK,8,2,1:09.60
31,20240324,4,9,RICH N POWERFUL,54,S RUZAINI,498,55.5,55.8,EP TAN,9,3,1:09.90
32,20240324,4,1,DRAGON CAVALLO,61,AB RIDUAN* c2,453,59.0,57.3,HY CHENG,7,4,1:09.90
33,20240324,4,6,JOJU,56,L DE SOUZA,441,56.5,56.5,R LINES,5,5,1:09.90
34,20240324,4,8,KHAN PEGASUS,54,M LUKMAN* c3,518,55.5,53.9,WC LIM,10,6,1:10.00
35,20240324,4,4,D'GREAT TIMING,56,S ZULFIKRI c2,504,56.5,55.5,R LINES,2,7,1:10.10
36,20240324,4,3,STRONG N POWERFUL,57,I FIKRI* c2,487,57.0,55.3,V SIVAN,6,8,1:10.10
37,20240324,4,10,HARDCORE,46,SN SHIVA* c3,541,52.0,51.2,CC OOI,1,9,1:10.20
38,20240324,4,7,GOLDEN PEAK,54,KC THAM c1,508,55.5,54.8,AB ABDULLAH,3,10,1:11.20
39,20240324,5,8,WECANDO,62,SU LIM,492,56.5,56.6,F MAYNARD,6,1,1:03.10
40,20240324,5,6,FLYING DURUMI,62,S RUZAINI,449,56.5,56.8,S HAMILTON,9,2,1:03.40
41,20240324,5,2,KASSAB,67,I FIKRI* c2,466,59.0,57,AB ABDULLAH,2,3,1:03.50
42,20240324,5,7,GOLDEN PEACH,62,CLYDE LECK* c1,448,56.5,55.6,C LECK,8,4,1:03.50
43,20240324,5,3,MAGIC TURBO,66,AB RIDUAN* c2,496,58.5,56.8,R LINES,3,5,1:04.10
44,20240324,5,1,HIGH WATER,67,J DANIEL c1,521,59.0,58.2,S DUNDERDALE,5,6,1:04.10
45,20240324,5,4,FA FA STAR,65,S ZULFIKRI c2,497,58.0,56.1,S HAMILTON,4,7,1:04.40
46,20240324,5,5,SURE WILL DO,63,PH SEOW* c2,518,57.0,55.1,R LINES,1,8,1:04.40
47,20240324,5,9,VERY GOOD,58,L DE SOUZA,490,54.5,54.7,R LINES,7,9,1:05.60
48,20240324,6,6,CAPTAIN TWENTYTWO,51,AB RIDUAN* c2,531,56.0,55.8,HY CHENG,3,1,1:02.90
49,20240324,6,1,OLYMPIA,57,CLYDE LECK* c1,446,59.0,58.1,S DUNDERDALE,6,2,1:03.10
50,20240324,6,3,BORN TO WIN,55,M LUKMAN* c3,469,58.0,55.1,WC LIM,5,3,1:03.70
51,20240324,6,7,MONTANA FLASH,51,F YUSOFF c2,520,56.0,54.1,V SIVAN,1,4,1:04.00
52,20240324,6,10,STEEL CUTTER,44,S HAFIS c1,511,52.5,51.5,M SUKRI,8,5,1:04.20
53,20240324,6,2,NAJWAN,56,I FIKRI* c2,494,58.5,56.5,AB ABDULLAH,9,6,1:04.20
54,20240324,6,8,MODRIC,50,KC THAM c1,530,55.5,54.5,S HAMILTON,4,7,1:04.20
55,20240324,6,4,DOCTOR GINGER,53,SU LIM,475,57.0,57,SY LIM,2,8,1:04.70
56,20240324,6,9,MAIDANZ BEAUTY,44,PH SEOW* c2,515,52.5,51.1,C LECK,10,9,1:04.70
57,20240324,6,5,POLO BOY,52,S ZULFIKRI c2,490,56.5,54.8,S SIVA,7,10,1:05.60
58,20240324,7,2,MAINSTREAM,42,S HAFIS c1,458,58.5,57.6,C LECK,9,1,1:51.90
59,20240324,7,5,SILENT PRINCE,40,CLYDE LECK* c1,464,57.5,56.5,C LECK,8,2,1:52.10
60,20240324,7,4,FAMOUS NAME,40,KC THAM c1,455,57.5,56.6,AB ABDULLAH,4,3,1:52.20
61,20240324,7,7,D'GREAT SWIFT,35,S ZULFIKRI c2,429,55.0,54.7,R LINES,2,4,1:52.40
62,20240324,7,1,ALL WHITE,43,SU LIM,452,59.0,59,C LECK,3,5,1:52.60
63,20240324,7,6,KING OF GLORY,37,J DANIEL c1,420,56.0,55.1,R LINES,6,6,1:52.70
64,20240324,7,3,D'GREAT MAGIC,40,S RUZAINI,438,57.5,57.5,EP TAN,5,7,1:52.70
65,20240324,7,9,SUPER ATAS,20,PH SEOW* c2,423,52.0,51,WC LIM,7,8,1:54.30
66,20240324,7,8,HAPPY LUCKY STAR,20,H HAIKAL* c3,490,52.0,50.8,EP TAN,1,9,2:15.30
67,20240324,8,4,BUSINESS CLASS,40,S HAFIS c1,502,57.5,56.8,SY LIM,7,1,1:18.30
68,20240324,8,5,CANDY RAIN,32,J DANIEL c1,479,53.5,53.8,F MAYNARD,8,2,1:18.40
69,20240324,8,1,ELUSIVE EMPEROR,43,SU LIM,541,59.0,59,S HAMILTON,4,3,1:18.50
70,20240324,8,2,TANGESH,43,S RUZAINI,571,59.0,59,C LECK,2,4,1:18.70
71,20240324,8,9,ANOTHER SHOW,28,H HAIKAL* c3,503,52.0,50.3,HY CHENG,6,5,1:19.10
72,20240324,8,3,VILLAGE TYCOON,41,KC THAM c1,492,58.0,57,I ISMADI,5,6,1:19.30
73,20240324,8,10,SUPREME HAPPINESS,20,I FIKRI* c2,520,52.0,50.9,V SIVAN,3,7,1:19.40
74,20240323,1,3,RULE THE WORLD,41,P HARIS* c3,477,58,-,K COETZEE,5,1,1.36.69
75,20240323,1,2,MOMENT OF JUSTICE,43,KP LIM c3,480,59,-,EP TAN,10,2,---
76,20240323,1,12,ADIRA PEGASUS,22,Z SYAFIFIE* c3,458,52,-,T ASOGAN,9,3,---
77,20240323,1,10,MAZANZE,25,HOW YANG c3,509,52,-,K COETZEE,8,4,---
78,20240323,1,7,EKRAAR PHOENIX,35,SN SHIVA* c3,487,55,-,K COETZEE,11,5,---
79,20240323,1,9,INTROIT,28,AM AIZAT c1,509,52,-,KF WONG,1,6,---
80,20240323,1,1,MAESTRO,43,Y AIFY,495,59,-,HY CHENG,2,7,---
81,20240323,1,4,GOLDEN LIGHTNING,38,M LUKMAN* c3,396,56.5,-,WC LIM,6,8,---
82,20240323,1,8,MASTER JIANGMEN,29,J DANIEL c1,512,52,-,T ASOGAN,3,9,---
83,20240323,1,5,MIEJ,38,AK LIM,458,56.5,-,WC LIM,4,10,---
84,20240323,1,11,MYSTICAL STAR,24,KC THAM c1,500,52,-,B NG,7,11,---
85,20240323,2,6,CIRCUIT STAR,20,AK LIM,529,53.5,-,T ASOGAN,4,1,1.36.07
86,20240323,2,5,SIR ELTON,21,P HARIS* c3,486,54,-,K COETZEE,8,2,---
87,20240323,2,9,SOON YOU THINK,20,Z SYAFIFIE* c3,492,53.5,-,K COETZEE,9,3,---
88,20240323,2,2,BLACK TAIPAN,25,AB RIDUAN* c2,439,56,-,HY CHENG,5,4,---
89,20240323,2,7,FIRST SUCCESS,20,HOW YANG c3,488,53.5,-,KF WONG,7,5,---
90,20240323,2,8,MAGICAL PARK,20,AM AIZAT c1,491,53.5,-,T ASOGAN,3,6,---
91,20240323,2,3,SILVER JOY,25,S SALEE,470,56,-,S HAMILTON,2,7,---
92,20240323,2,4,PENANG GENERAL,22,S RUZAINI,442,54.5,-,B NG,1,8,---
93,20240323,3,9,THAILAND CAPTAIN,46,Z SYAFIFIE* c3,491,52,-,K COETZEE,9,1,1.34.33
94,20240323,3,11,KING RAVANA,45,AK LIM,495,52,-,P LEE,5,2,---
95,20240323,3,8,BIG MONKEY,47,AM AIZAT c1,469,52,-,B NG,6,3,---
96,20240323,3,2,NORTHERN STAR,57,AB RIDUAN* c2,518,57,-,HY CHENG,1,4,---
97,20240323,3,7,AMORE AMORE,47,SN SHIVA* c3,501,52,-,K COETZEE,4,5,---
98,20240323,3,6,LEGEND WAR,48,Y AIFY,495,52.5,-,HY CHENG,3,6,---
99,20240323,3,4,BLACK PRINCE,49,M LUKMAN* c3,506,53,-,P LEE,10,7,---
100,20240323,3,3,THE BOSS,55,KC THAM c1,484,56,-,P ARUMUGAM,7,8,---
101,20240323,3,10,HARVEST,45,S RUZAINI,452,52,-,R LINES,2,9,---
102,20240323,3,1,ARION SUCCESS,61,P HARIS* c3,477,59,-,W LOOI,8,10,---
103,20240323,3,5,GALAXY LAW,48,H HAIKAL* c3,451,52.5,-,S COOK,11,11,---
104,20240323,4,6,LANKARAN,33,S RUZAINI,478,54,-,S HAMILTON,5,1,1.24.50
105,20240323,4,1,SHANGHAI CAPTAIN,43,AM AIZAT c1,486,59,-,R LINES,3,2,---
106,20240323,4,9,STARHARMONY,31,P HARIS* c3,509,53,-,K COETZEE,7,3,---
107,20240323,4,4,JAZZ BAND,35,S SALEE,464,55,-,P LEE,13,4,---
