Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/19,1,AWESOME FLUKE,非惟僥倖,L Ferraris,霍宏聲,135,1189,8,P F Yiu,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,218,0,PP,80,1463,6
1,2025/10/19,2,WINNING GOLD,金勝名駒,R Kingscote,金誠剛,134,1065,3,W Y So,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,2,PPG,79,1043,5
2,2025/10/19,3,YUEN LONG ELITE,元朗精英,M L Yeung,楊明綸,131,1145,12,K L Man,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,1,PPG,76,1061,5
3,2025/10/19,4,POPE CODY,幸運派彩,J Orman,奧爾民,130,1104,2,Y S Tsui,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,2,PP,75,317,4
4,2025/10/19,5,BEAUTY BOLT,美麗星晨,Z Purton,潘頓,129,1163,10,A S Cruz,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,1,PP,74,19,3
5,2025/10/19,6,I CAN,我做到,A Atzeni,艾兆禮,129,1090,5,P C Ng,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,32,2,PP,74,1475,6
6,2025/10/19,7,MORGAN SUCCESS,龍城精將,H Bowman,布文,127,1117,7,D J Whyte,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,119,0,PP,72,339,4
7,2025/10/19,8,MISTER DAPPER,英駿飛駒,B Avdulla,艾道拿,123,1205,1,D Eustace,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,98,0,PPG,68,1487,6
8,2025/10/19,9,CALIFORNIA WAVES,加州熱浪,C L Chau,周俊樂 (-2),122,1118,6,W K Mo,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,35,1,PP,67,379,4
9,2025/10/19,10,MAX QUE,勁沙塵,A Badel,巴度,122,1107,4,M Newnham,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,18,2,PPG,67,1119,5
10,2025/10/19,11,MASTER TRILLION,八仟財陞,K C Leung,梁家俊,121,1068,13,F C Lor,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,1,PPG,66,1127,5
11,2025/10/19,12,SKY VINO,滿心星,E C W Wong,黃智弘 (-5),120,1105,11,C Fownes,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,18,1,PPG,65,433,4
12,2025/10/19,13,SPIRIT OF PEACE,泰泰精神,M Chadwick,蔡明紹,120,1036,14,J Size,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,2,PPG,65,1138,5
13,2025/10/19,14,FORTUNE BOY,火焰閃爍,K Teetan,田泰安,116,1115,9,D A Hayes,10,Class 3,1600,Sha Tin,"Turf, ""C+3"" Course",Good,17:55,21,1,PPG,61,514,4
