,HorseName,Jockey,Trainer,Score
0,WAH MAY WAI WAI,Y L Chung,A S Cruz,0.01917190218255753
1,HIGHLAND RAHY,L Hewitson,K W Lui,0.019858265644746027
2,APOLAR FIGHTER,C Y Ho,D Eustace,0.050850874970511606
3,SURE JOYFUL,M Chadwick,P F Yiu,0.20036899001772104
4,THE DOUBLE EAGLE,K De Melo,K H Ting,0.040756815726819294
5,CAN'T GO WONG,M F Poon,F C Lor,0.108537970098006
6,SOLAR GOGO,A Hamelin,T P Yung,0.010658389895965728
7,FOREMOST TEDDY,Z Purton,C S Shum,0.22377955471875344
8,COURIER MAGIC,A Atzeni,J Richards,0.12750868642507382
9,SUPER BABY,L Ferraris,M Newnham,0.07233986606744791
10,PRINCE ALEX,H Bentley,D J Whyte,0.08328768963406573
11,SMART ZIPANG,A Badel,W Y So,0.042880994618331794
