,HorseName,HorseName_cn,Jockey,Trainer,Score
0,GALVANIC,加非凡,E C W Wong,C Fownes,0.08934403350846493
1,NORTHERN BEAST,北海盜,Z Purton,D J Hall,0.19543943135137395
2,SURE JOYFUL,得意佳作,M Chadwick,P F Yiu,0.0520059025864149
3,DEVILDOM,摩界,L Hewitson,T P Yung,0.06331646156371953
4,WAH MAY WAI WAI,華美之威,Y L Chung,A S Cruz,0.0775901542782413
5,KIMBERLEY,嘉寶神駒,H Bowman,C S Shum,0.12494039552861345
6,APOLAR FIGHTER,無極勇將,C Y Ho,D Eustace,0.08387744747972556
7,TO INFINITY,極速滿貫,B Avdulla,J Richards,0.05053242154693118
8,SMILING EMPEROR,風雲,L Ferraris,K H Ting,0.05518427156830046
9,PRINCE ALEX,大力猴王,H Bentley,D J Whyte,0.07461297000711045
10,GALLANT CROWN,冠寶駒,K Teetan,D A Hayes,0.09317864323458065
11,LORD OF THE ROSE,玫瑰寶,M L Yeung,W Y So,0.03997786734652358
