,HorseName,Jockey,Score
0,RUN RUN TIMING,H Bentley,0.166997826651854
1,SUGAR BALL,Z Purton,0.20088011502088177
2,EXUBERANT,C L Chau,0.09306646413649115
3,MAJESTIC COLOUR,L Hewitson,0.05606577973495195
4,SKY TRUST,H Bowman,0.274003430490673
5,ONLY U,K C Leung,0.023840597341085484
6,SUPER BEN,B Avdulla,0.026214660090427538
7,SUNDAY'S SERENADE,K Teetan,0.04884170743152183
8,MILES AWAY,M Chadwick,0.01981384901200831
9,TRIPLE BLISS,C Y Ho,0.039972218090615366
10,LUCKY FIONN,A Atzeni,0.020976431338740505
11,OMAKASE,Y L Chung,0.015937209924349615
12,WINNING TURN,P N Wong,0.013389710736399723
