,HorseName,Score
0,TOP PEAK,0.3215782861063554
1,STEPS AHEAD,0.423620806449419
2,BEAUTIFUL WIN,0.1252073463277322
3,FAMILY JEWEL,0.2749674475314468
4,FOOLISH HEART,0.2235496571101061
5,CIRCUIT MIGHTY,0.18759282939879604
6,SMILING COLLECTOR,0.15417483560291106
7,MIU FA FA,0.06772275621371644
8,WINDICATOR FAMILY,0.01711550038737567
9,HOLY POWER,0.2610269268912744
10,GREAT SPIRIT,0.20818403920048228
11,WINNING TURN,0.07288985025184112
12,LINK,0.02073314202997719
13,YOUNG HORIZON,0.32366909782324366
