,HorseName,Score
0,ELLIPTICAL,0.3371894715384329
1,CHANCHENG GLORY,0.5830310477153943
2,SPEED DRAGON,0.284667530316883
3,KA YING GENERATION,0.3925104593344416
4,SIMPLE HEDGE,0.7657481987733197
5,GOLDEN ARTIE,0.16290433578184565
6,HAKKA RADIANCE,0.16509169278840222
7,I KEEP WINNING,0.14876317564285663
8,BEAUTY MISSILE,0.25668902492276646
9,EIGHTEEN CARAT,0.11434719266980618
10,FALLON,0.16285987638990632
11,NOT A FEW,0.10945171679280616
12,STAR MAC,0.19043887940953327
13,WINDICATOR FAMILY,0.04295862392839318
