,HorseName,Score
0,TAMRA BLITZ,0.02655469153509313
1,AMAZING VICTORY,0.034092474752365355
2,SINBA,0.004575312412409613
3,FUN TOGETHER,0.008542582085629535
4,MASTER OF FORTUNE,0.04426388207644418
5,AORAKI SUMMIT,0.007092641087084683
6,BEAUTY FIT,0.03387345421978962
7,GREEN N WHITE,0.051309298524914976
8,AMAZING DUCK,0.005516760486156927
9,SWEET BRIAR,0.022702793964586895
10,E LEGEND,0.009781610874568138
11,JUNE PLANET,0.05692337381091896
12,SUGAR BALL,0.007113218517293414
13,FOREVER CHARM,0.008883527390715676
