,HorseName,HorseName_cn,Jockey,Trainer,Score
0,SUGAR SUGAR,鈁糖武士,E C W Wong,C Fownes,0.19476520400307928
1,ABSOLUTE HONOUR,超開心,Y L Chung,A S Cruz,0.1762894534257121
2,PRESTIGE ALWAYS,盈妍威楓,M F Poon,P C Ng,0.14164742109314857
3,SUPER JOY N FUN,時尚風趣,C L Chau,T P Yung,0.23248652809853734
4,GOLDEN EMPIRE,金發盛世,K De Melo,K W Lui,0.26096997690531176
5,RISING FROM ASHES,自力更生,K Teetan,C W Chang,0.25096227867590454
6,STORM RIDER,風雲武士,B Avdulla,D A Hayes,0.26481909160892997
7,GOLDEN RISE,金匯昇昇,A Atzeni,J Size,0.33564280215550424
8,CHARMING BABE,輕功猛男,A Hamelin,P F Yiu,0.27174749807544263
9,CONSPIRATOR,運籌帷幄,L Hewitson,M Newnham,0.24865280985373364
10,RUN RUN SMART,自動自覺,A Badel,F C Lor,0.15319476520400307
11,YOUNG ARROW,競駿非凡,H Bentley,D J Whyte,0.3441108545034642
