,HorseName,Jockey,Trainer,Score
0,EXCELLENT PEERS,M Chadwick,F C Lor,0.14375
1,GOLDEN LUCK,L Hewitson,K L Man,0.25625
2,JOY COMING,C Y Ho,K W Lui,0.31875
3,CIRCUS REEL,B Avdulla,D J Hall,0.2125
4,EMBRACES,Z Purton,J Richards,0.36875
5,GLORY CLOUD,H Bowman,C Fownes,0.45625
6,SUPER TREASURE,Y L Chung,C W Chang,0.125
7,CHAMPION METHOD,A Atzeni,C S Shum,0.15
8,SEA AIR LEGEND,H T Mo,Y S Tsui,0.11875
9,COLONEL,L Ferraris,M Newnham,0.15
10,SHINKANSEN,K Teetan,D J Whyte,0.425
11,CIRCUIT TEN,B Thompson,W Y So,0.1
