,HorseName,Score
0,SEIZING THE MOMENT,0.24607318136653958
1,STAR LINE,0.24617477062620993
2,DREAM PURSUER,0.24621206428112782
3,AMAZING RUN,0.2403903301140244
4,AEROINVINCIBLE,0.24648672875089242
5,ALL RICHES,0.24544578204000006
6,C P ONE,0.2462427955931957
7,FAIRY HORSE,0.24624636393028035
8,SILVER DESTINY,0.24630541183547655
9,KINGLY DEMEANOR,0.24253362173500967
10,GOLDEN SAMURAI,0.2458463659328921
11,AMAZINGTEAMWORK,0.2445335378526629
12,PATCH OF WATCH,0.2463356429022496
13,WOODFIRE CHAMP,0.2394523994841914
