,RaceDate,RaceNo,Venue,Class,Going,Course,Place,HorseName,Jockey,Trainer,ActWeight,HorseWeight,Draw,FinishTime,WinOdd,Dividend,RaceMonth
0,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,1,SPANGLE FORTUNE,P N Wong,K L Man,122,1070,2,1:38.81,10,32.00,11
1,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,2,PRECISION GOAL,Z Purton,D A Hayes,125,1081,12,1:38.99,11,37.50,11
2,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,3,JOYFUL CHAMPION,K Teetan,C W Chang,117,1175,8,1:39.18,5.7,17.00,11
3,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,4,COLOURFUL BARON,L Hewitson,D J Whyte,131,1111,1,1:39.33,3.3,0,11
4,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,5,VULCANUS,Y L Chung,Y S Tsui,126,1134,10,1:39.37,11,0,11
5,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,6,SUPERB MOVE,C L Chau,C H Yip,121,1137,5,1:39.95,8.8,0,11
6,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,7,NOT A FEW,H Bowman,D Eustace,134,1030,6,1:39.96,10,0,11
7,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,8,TELECOM BULLET,H T Mo,Y S Tsui,124,1098,13,1:40.26,113,0,11
8,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,9,BEAU GOSSE,B Avdulla,K W Lui,124,1136,4,1:40.28,9.6,0,11
9,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,10,SMART ZIPANG,M L Yeung,W Y So,135,1039,3,1:40.41,73,0,11
