,RaceDate,RaceNo,Venue,Class,Going,Course,Place,HorseName,Jockey,Trainer,ActWeight,HorseWeight,Draw,FinishTime,WinOdd,Dividend,RaceMonth
0,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",1,MODEST GENTLEMAN,C L Chau,C H Yip,130,1025,2,0:57.91,5.1,19.50,05
1,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",2,KING INVINCIBLE,K C Leung,F C Lor,134,1027,3,0:57.96,6,22.50,05
2,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",3,AUGUST MOON,K De Melo,J Richards,121,1153,5,0:58.16,9,26.50,05
3,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",4,TACTICAL COMMAND,A Badel,M Newnham,135,1075,6,0:58.28,7.4,0,05
4,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",5,DASHING GLORY,K Teetan,Y S Tsui,116,1092,7,0:58.40,22,0,05
5,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",6,DIAMOND SOARS,H Bowman,P F Yiu,135,1197,11,0:58.58,6.3,0,05
6,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",7,ISLAND SURPRISE,H Bentley,P C Ng,124,1117,8,0:58.68,12,0,05
7,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",8,THE GOOD DEAL,A Atzeni,D J Whyte,131,1136,12,0:58.79,10,0,05
8,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",9,HAPPILY FRIENDS,M Chadwick,W Y So,120,1094,10,0:59.03,18,0,05
9,2024/05/1,1,Happy Valley:,Class 5 - 1000M - (40-0),GOOD TO YIELDING,"TURF - ""A"" Course",10,CRAIG'S MASTER,A Hamelin,D J Hall,123,1059,4,0:59.56,35,0,05
